acc	year	title	journal	vol	doi	eprint	author	comment	url_slug
True	2016	A Detection of the Integrated Sachs-Wolfe Imprint of Cosmic Superstructures Using a Matched-filter Approach	ApJL	830, L19	10.3847/2041-8205/830/1/L19	arXiv:1608.08638	Seshadri Nadathur, Robert Crittenden	 	Nadathur_and_Crittenden
True	2016	Testing cosmology with a catalogue of voids in the BOSS galaxy surveys	MNRAS	461, 358	10.1093/mnras/stw1340	arXiv:1602.04752	Seshadri Nadathur	 	Nadathur
True	2016	Beyond $\\Lambda$CDM: Problems, solutions, and the road ahead	Phys. Dark U.	12, 56	10.1016/j.dark.2016.02.001	arXiv:1512.05356	Philip Bull, Yashar Akrami, Julian Adamek, et al.	 	Bull_et_al
True	2015	The nature of voids - I. Watershed void finders and their connection with theoretical models	MNRAS	454, 2228	10.1093/mnras/stv2131	arXiv:1504.06510	S. Nadathur, S. Hotckiss	 	Nadathur_I
True	2015	The nature of voids - II. Tracing underdensities with biased galaxies	MNRAS	454, 889	10.1093/mnras/stv1994	arXiv:1507.00197	S. Nadathur, S. Hotckiss	 	Nadathur_II
True	2015	Decaying dark matter and the tension in $\\sigma_8$	JCAP	2015, 067	10.1088/1475-7516/2015/09/067	arXiv:1505.05511	Kari Enqvist, Seshadri Nadathur, Toyokazu Sekiguchi, Tomo Takahashi	 	Enqvist_et_al
True	2015	Self-similarity and universality of void density profiles in simulation and SDSS data	MNRAS	449, 3997	10.1093/mnras/stv513	arXiv:1407.1295	S. Nadathur, S. Hotchkiss, J. M. Diego, I. T. Iliev, S. Gottl{\:o}ber, W. A. Watson, G. Yepes	 	Nadathur_et_al
True	2015	The Jubilee ISW Project - II. Observed and simulated imprints of voids and superclusters on the cosmic microwave background	MNRAS	446, 1321	10.1093/mnras/stu2072	arXiv:1405.3552	S. Hotchkiss, S. Nadathur, S. Gottl{\:o}ber, I. T. Iliev,  A. Knebe, W. A. Watson, G. Yepes	 	Hotchkiss_et_al
True	2014	Can a supervoid explain the cold spot?	Phys. Rev. D	90, 103510	10.1103/PhysRevD.90.103510	arXiv:1408.4720	Seshadri Nadathur, Mikko Lavinto, Shaun Hotchkiss, Syksy R{\:a}s{\:a}nen	 	Nadathur_et_al
True	2014	A robust public catalogue of voids and superclusters in the SDSS Data Release 7 galaxy surveys	MNRAS	440, 1248	10.1093/mnras/stu349	arXiv:1310.2791	Seshadri Nadathur, Shaun Hotchkiss	 	Nadathur_Hotchkiss
True	2014	The Jubilee ISW project - I. Simulated ISW and weak lensing maps and initial power spectra results	MNRAS	438, 412	10.1093/mnras/stt2208	arXiv:1307.1712	W. A. Watson, J. M. Diego, S. Gottl{\:o}ber, et al.	 	Watson_et_al
False	2013	Comments on arXiv:1310.5067: ''A response to 'A self-consistent public catalogue of voids and superclusters in the SDSS Data Release 7 galaxy surveys' ''	 	 	 	arXiv:1310.6911	Seshadri Nadathur, Shaun Hotchkiss	 	Nadathur_Hotchkiss
True	2013	Seeing patterns in noise: gigaparsec-scale `structures' that do not violate homogeneity	MNRAS	434, 398	10.1093/mnras/stt1028	arXiv:1306.1700	Seshadri Nadathur	 	Nadathur
True	2013	The stacked ISW signal of rare superstructures in $\\Lambda$CDM	JCAP	2013, 013	10.1088/1475-7516/2013/02/013	arXiv:1212.0776	Samuel Flender, Shaun Hotchkiss, Seshadri Nadathur	 	Flender_et_al
True	2012	The integrated Sachs-Wolfe imprint of cosmic superstructures: a problem for $\\Lambda$CDM	JCAP	2012, 042	10.1088/1475-7516/2012/06/042	arXiv:1109.4126	Seshadri Nadathur, Shaun Hotchkiss, Subir Sarkar	 	Nadathur_et_al
True	2012	Curvaton Scenario within the Minimal Supersymmetric Standard Model and Predictions for Non-Gaussianity	Phys. Rev. Lett.	108, 111302	10.1103/PhysRevLett.108.111302	arXiv:1107.4078	Anupam Mazumdar, Seshadri Nadathur	 	Mazumdar_Nadathur
True	2012	Inflation with large supergravity corrections	Phys. Rev. D	85, 045001	10.1103/PhysRevD.85.045001	arXiv:1105.0430	Anupam Mazumdar, Seshadri Nadathur, Philip Stephens	 	Mazumdar_et_al
True	2012	Observable gravitational waves from inflation with small field excursions	JCAP	2012, 008	10.1088/1475-7516/2012/02/008	arXiv:1110.05389	Shaun Hotchkiss, Anupam Mazumdar, Seshadri Nadathur	 	Hotchkiss_et_al
True	2011	Inflection point inflation: WMAP constraints and a solution to the fine tuning problem	JCAP	2011, 002	10.1088/1475-7516/2011/06/002	arXiv:1101.6046	Shaun Hotchkiss, Anupam Mazumdar, Seshadri Nadathur	 	Hotchkiss_et_al
True	2011	Reconciling the local void with the CMB	Phys. Rev. D	83, 063506	10.1103/PhysRevD.83.063506	arXiv:1012.3460	Seshadri Nadathur, Subir Sarkar	 	Nadathur_Sarkar
