acc	year	title	proceedings	doi	arXiv	eprint	author	comment	url_slug
True	2016	The ISW imprints of voids and superclusters on the CMB	In <i>The Zeldovich Universe: Genesis and Growth of the Cosmic Web</i>, Proceedings of the International Astronomical Union, IAU Symposium, Volume 308, pp. 580-584	10.1017/S1743921316010619	False	 	S. Hotchkiss, S. Nadathur, S. Gottl{\:o}ber, I. T. Iliev,  A. Knebe, W. A. Watson, G. Yepes	 	Hotchkiss_et_al
True	2016	Universal void density profiles from simulation and SDSS	In <i>The Zeldovich Universe: Genesis and Growth of the Cosmic Web</i>, Proceedings of the International Astronomical Union, IAU Symposium, Volume 308, pp. 542-545	10.1017/S1743921316010541	True	arXiv:1412.8372	S. Nadathur, S. Hotchkiss, J. M. Diego, I. T. Iliev, S. Gottl{\:o}ber, W. A. Watson, G. Yepes	 	Nadathur_et_al
